Date,Open,High,Low,Close,Adj Close,Volume
1987-01-02,30.250000,30.625000,30.218750,30.500000,13.188066,2740000
1987-01-05,30.687500,31.000000,30.656250,30.906250,13.363733,7040000
1987-01-06,30.968750,31.093750,30.656250,30.750000,13.296179,7840000
1987-01-07,30.687500,31.000000,30.531250,30.875000,13.350229,6720000
1987-01-08,30.812500,30.843750,30.343750,30.718750,13.282656,8960000
1987-01-09,30.500000,30.656250,30.375000,30.562500,13.215105,6880000
1987-01-12,30.000000,30.281250,30.000000,30.093750,13.012417,10040000
1987-01-13,29.500000,29.687500,29.000000,29.125000,12.593532,15880000
1987-01-14,29.031250,29.687500,28.937500,29.656250,12.823240,12760000
1987-01-15,29.718750,30.343750,29.687500,30.000000,12.971881,10960000
1987-01-16,30.156250,30.281250,29.875000,30.000000,12.971881,10600000
1987-01-19,29.906250,31.312500,29.750000,31.312500,13.539399,10960000
1987-01-20,31.500000,31.812500,30.500000,30.687500,13.269151,13080000
1987-01-21,30.562500,31.218750,30.437500,30.687500,13.269151,10760000
1987-01-22,30.687500,32.000000,30.656250,31.843750,13.769098,10120000
1987-01-23,31.906250,32.468750,31.000000,31.562500,13.647493,15880000
1987-01-26,31.500000,31.968750,31.187500,31.812500,13.755591,7640000
1987-01-27,31.968750,32.437500,31.968750,32.343750,13.985302,8360000
1987-01-28,32.500000,32.562500,32.125000,32.500000,14.052868,9040000
1987-01-29,32.687500,32.718750,31.875000,32.156250,13.904237,8720000
1987-01-30,32.156250,32.281250,31.875000,32.187500,13.917744,5760000
1987-02-02,32.062500,33.125000,32.000000,33.062500,14.296088,8000000
1987-02-03,33.187500,33.593750,33.156250,33.250000,14.377171,9880000
1987-02-04,33.375000,33.781250,32.875000,33.781250,14.606876,9200000
1987-02-05,33.562500,34.375000,33.562500,34.218750,14.917497,12720000
1987-02-06,34.218750,34.281250,33.875000,33.937500,14.794873,6480000
1987-02-09,33.875000,33.968750,33.125000,33.437500,14.576907,6720000
1987-02-10,33.375000,33.875000,32.875000,33.343750,14.536029,7400000
1987-02-11,33.343750,33.625000,33.187500,33.500000,14.604148,5240000
1987-02-12,33.750000,33.750000,33.156250,33.156250,14.454298,6920000
1987-02-13,33.156250,33.687500,33.062500,33.625000,14.658643,5600000
1987-02-17,33.593750,34.656250,33.562500,34.593750,15.080966,9200000
1987-02-18,34.750000,34.875000,34.281250,34.500000,15.040096,7640000
1987-02-19,34.500000,34.906250,34.375000,34.781250,15.162704,5760000
1987-02-20,34.781250,34.937500,34.531250,34.906250,15.217199,8120000
1987-02-23,34.937500,36.031250,34.687500,35.843750,15.625898,11560000
1987-02-24,35.781250,36.062500,35.593750,35.750000,15.585028,8040000
1987-02-25,35.687500,35.875000,35.437500,35.437500,15.448788,5000000
1987-02-26,35.250000,35.406250,34.843750,34.843750,15.189953,7320000
1987-02-27,35.031250,35.156250,34.812500,34.875000,15.203581,4120000
1987-03-02,34.875000,35.000000,34.562500,34.625000,15.094575,4160000
1987-03-03,34.437500,34.718750,34.406250,34.531250,15.053716,3944400
1987-03-04,34.593750,35.343750,34.562500,34.968750,15.244441,7200000
1987-03-05,35.156250,35.468750,35.000000,35.093750,15.298948,5280000
1987-03-06,35.093750,35.125000,34.750000,34.843750,15.189953,3825600
1987-03-09,34.687500,34.718750,34.468750,34.718750,15.135451,5280000
1987-03-10,34.937500,35.718750,34.687500,35.718750,15.571402,7400000
1987-03-11,36.062500,36.093750,35.375000,35.437500,15.448788,9320000
1987-03-12,35.437500,36.281250,35.218750,36.062500,15.721253,8760000
1987-03-13,36.187500,36.500000,36.156250,36.218750,15.789379,7520000
1987-03-16,36.093750,36.250000,35.781250,36.156250,15.762125,3978400
1987-03-17,36.093750,36.781250,36.093750,36.781250,16.034592,7760000
1987-03-18,36.968750,37.000000,36.281250,36.562500,15.939234,7560000
1987-03-19,36.500000,36.843750,36.468750,36.750000,16.020969,4320000
1987-03-20,36.906250,37.312500,36.843750,37.156250,16.198071,8680000
1987-03-23,37.250000,37.562500,37.125000,37.437500,16.320681,8720000
1987-03-24,37.468750,38.218750,37.312500,38.218750,16.661264,6720000
1987-03-25,38.218750,39.125000,38.031250,38.906250,16.960987,8332000
1987-03-26,39.125000,39.156250,38.468750,38.500000,16.783878,7940000
1987-03-27,38.500000,38.531250,37.625000,37.687500,16.429672,7064000
1987-03-30,36.500000,38.187500,36.468750,38.093750,16.606770,12880000
1987-03-31,38.312500,38.343750,37.375000,37.531250,16.361544,10540000
1987-04-01,37.250000,38.000000,37.250000,37.781250,16.470543,10600000
1987-04-02,37.843750,37.843750,36.875000,37.000000,16.129957,9592000
1987-04-03,36.812500,37.687500,36.406250,37.375000,16.293432,13124000
1987-04-06,37.531250,37.593750,37.218750,37.343750,16.279821,7052000
1987-04-07,37.281250,37.531250,36.625000,36.625000,15.966479,8360000
1987-04-08,36.812500,37.062500,36.531250,36.812500,16.048212,6776000
1987-04-09,36.812500,36.875000,35.875000,36.000000,15.694016,8760000
1987-04-10,35.750000,36.406250,35.656250,36.250000,15.803004,9240000
1987-04-13,36.906250,37.562500,36.687500,36.906250,16.089088,13200000
1987-04-14,37.187500,37.718750,36.625000,37.031250,16.143587,16680000
1987-04-15,37.750000,37.968750,37.250000,37.718750,16.443296,12160000
1987-04-16,37.812500,38.062500,37.468750,37.500000,16.347918,11880000
1987-04-20,37.562500,37.656250,37.187500,37.500000,16.347918,7240000
1987-04-21,37.250000,39.500000,37.125000,39.250000,17.110826,10760000
1987-04-22,39.000000,39.250000,38.468750,38.562500,16.811117,12040000
1987-04-23,38.625000,39.125000,38.281250,38.562500,16.811117,9520000
1987-04-24,38.312500,38.531250,37.875000,37.937500,16.538651,7212000
1987-04-27,37.625000,39.000000,37.375000,38.562500,16.811117,13200000
1987-04-28,38.875000,39.156250,38.656250,38.812500,16.920103,11760000
1987-04-29,39.000000,39.906250,38.968750,39.656250,17.287935,12960000
1987-04-30,39.625000,40.375000,39.437500,40.031250,17.451424,13080000
1987-05-01,40.000000,40.593750,39.781250,40.156250,17.505907,9520000
1987-05-04,40.031250,40.750000,39.937500,40.750000,17.764751,6240000
1987-05-05,41.093750,41.906250,41.062500,41.718750,18.187065,11160000
1987-05-06,41.718750,41.906250,41.500000,41.687500,18.173445,8720000
1987-05-07,41.437500,41.687500,40.968750,41.218750,18.088434,6600000
1987-05-08,41.375000,41.468750,40.812500,40.937500,17.965006,5716000
1987-05-11,41.250000,41.843750,40.750000,40.750000,17.882713,9080000
1987-05-12,40.656250,41.531250,40.562500,41.343750,18.143274,7960000
1987-05-13,41.375000,41.750000,41.125000,41.562500,18.239264,6920000
1987-05-14,41.812500,41.843750,41.250000,41.281250,18.115852,5360000
1987-05-15,40.875000,41.343750,40.156250,40.156250,17.622154,7960000
1987-05-18,39.937500,40.312500,39.281250,40.250000,17.663296,10040000
1987-05-19,40.375000,40.437500,38.906250,39.187500,17.197035,10560000
1987-05-20,39.125000,39.656250,38.750000,39.156250,17.183321,11240000
1987-05-21,39.562500,39.687500,39.218750,39.312500,17.251888,6760000
1987-05-22,39.562500,39.812500,39.031250,39.156250,17.183321,4120000
1987-05-26,39.625000,40.187500,39.562500,40.156250,17.622154,5720000
1987-05-27,40.062500,40.593750,40.000000,40.250000,17.663296,6880000
1987-05-28,40.343750,40.687500,39.812500,40.656250,17.841576,5600000
1987-05-29,40.812500,40.968750,40.000000,40.000000,17.553595,4920000
1987-06-01,40.250000,40.343750,39.812500,39.906250,17.512451,5320000
1987-06-02,39.875000,39.937500,39.312500,39.312500,17.251888,7400000
1987-06-03,39.500000,40.093750,39.468750,40.062500,17.581013,6600000
1987-06-04,40.031250,40.343750,39.906250,40.343750,17.704430,4320000
1987-06-05,40.187500,40.312500,39.718750,40.000000,17.553595,4200000
1987-06-08,39.937500,40.468750,39.687500,40.312500,17.690723,4800000
1987-06-09,40.406250,40.406250,39.812500,39.968750,17.539879,5240000
1987-06-10,40.156250,40.375000,39.000000,39.437500,17.306744,7560000
1987-06-11,39.750000,39.781250,39.250000,39.406250,17.293024,6240000
1987-06-12,39.750000,39.843750,39.062500,39.156250,17.183321,5600000
1987-06-15,39.562500,40.031250,39.500000,39.906250,17.512451,6080000
1987-06-16,39.906250,40.562500,39.843750,40.500000,17.773001,6640000
1987-06-17,40.562500,40.625000,40.062500,40.343750,17.704430,4840000
1987-06-18,40.156250,40.500000,40.031250,40.218750,17.649586,4440000
1987-06-19,40.187500,40.531250,40.093750,40.343750,17.704430,9440000
1987-06-22,40.500000,40.875000,40.468750,40.812500,17.910147,7080000
1987-06-23,40.937500,41.250000,40.625000,41.218750,18.088434,8680000
1987-06-24,41.187500,41.906250,41.156250,41.531250,18.225559,9680000
1987-06-25,41.843750,42.156250,41.750000,41.968750,18.417553,7720000
1987-06-26,41.750000,41.937500,41.531250,41.625000,18.266703,5120000
1987-06-29,41.437500,41.625000,41.250000,41.343750,18.143274,4480000
1987-06-30,41.406250,41.437500,40.625000,40.625000,17.827868,6800000
1987-07-01,40.718750,41.156250,40.687500,41.000000,17.992426,6160000
1987-07-02,41.125000,41.281250,41.000000,41.062500,18.019855,4800000
